claim_id,paper_id,claim_text,evidence_type,section,page,confidence,tags,quote_or_paraphrase,user_comment,supports_theme,strength,note_file
stress_zis_photocatalysis_synthetic_004:c3,stress_zis_photocatalysis_synthetic_004,Synthetic claim 84 for stress_zis_photocatalysis_synthetic_004 records user-tracked evidence about catalyst stability.,experimental_result,Section 1 p. 86,86,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_004.md
stress_zis_photocatalysis_synthetic_005:c1,stress_zis_photocatalysis_synthetic_005,Synthetic claim 5 for stress_zis_photocatalysis_synthetic_005 records user-tracked evidence about charge separation.,review_statement,Section 6 p. 7,7,medium,charge-separation; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_005.md
stress_zis_photocatalysis_synthetic_005:c2,stress_zis_photocatalysis_synthetic_005,Synthetic claim 45 for stress_zis_photocatalysis_synthetic_005 records user-tracked evidence about charge separation.,review_statement,,,medium,charge-separation; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_005.md
stress_zis_photocatalysis_synthetic_005:c3,stress_zis_photocatalysis_synthetic_005,Synthetic claim 85 for stress_zis_photocatalysis_synthetic_005 records user-tracked evidence about charge separation.,review_statement,Section 2 p. 87,87,medium,charge-separation; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_005.md
stress_zis_photocatalysis_synthetic_006:c1,stress_zis_photocatalysis_synthetic_006,Synthetic claim 6 for stress_zis_photocatalysis_synthetic_006 records user-tracked evidence about photocorrosion.,experimental_result,Section 1 p. 8,8,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_006.md
stress_zis_photocatalysis_synthetic_006:c2,stress_zis_photocatalysis_synthetic_006,Synthetic claim 46 for stress_zis_photocatalysis_synthetic_006 records user-tracked evidence about photocorrosion.,background_context,Section 5 p. 48,48,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_006.md
stress_zis_photocatalysis_synthetic_006:c3,stress_zis_photocatalysis_synthetic_006,Synthetic claim 86 for stress_zis_photocatalysis_synthetic_006 records user-tracked evidence about photocorrosion.,theory_or_mechanism,Section 3 p. 88,88,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_006.md
stress_zis_photocatalysis_synthetic_007:c1,stress_zis_photocatalysis_synthetic_007,Synthetic claim 7 for stress_zis_photocatalysis_synthetic_007 records user-tracked evidence about thin-film fabrication.,method_description,Section 2 p. 9,9,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_007.md
stress_zis_photocatalysis_synthetic_007:c2,stress_zis_photocatalysis_synthetic_007,Synthetic claim 47 for stress_zis_photocatalysis_synthetic_007 records user-tracked evidence about thin-film fabrication.,opinion_or_interpretation,Section 6 p. 49,49,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_007.md
stress_zis_photocatalysis_synthetic_007:c3,stress_zis_photocatalysis_synthetic_007,Synthetic claim 87 for stress_zis_photocatalysis_synthetic_007 records user-tracked evidence about thin-film fabrication.,limitation,Section 4 p. 89,89,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_007.md
stress_zis_photocatalysis_synthetic_009:c1,stress_zis_photocatalysis_synthetic_009,Synthetic claim 8 for stress_zis_photocatalysis_synthetic_009 records user-tracked evidence about catalyst stability.,theory_or_mechanism,Section 3 p. 10,10,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_009.md
stress_zis_photocatalysis_synthetic_009:c2,stress_zis_photocatalysis_synthetic_009,Synthetic claim 48 for stress_zis_photocatalysis_synthetic_009 records user-tracked evidence about catalyst stability.,experimental_result,Section 1 p. 50,50,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_009.md
stress_zis_photocatalysis_synthetic_009:c3,stress_zis_photocatalysis_synthetic_009,Synthetic claim 88 for stress_zis_photocatalysis_synthetic_009 records user-tracked evidence about catalyst stability.,background_context,Section 5 p. 90,90,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_009.md
stress_zis_photocatalysis_synthetic_010:c1,stress_zis_photocatalysis_synthetic_010,Synthetic claim 9 for stress_zis_photocatalysis_synthetic_010 records user-tracked evidence about charge separation.,review_statement,,,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_010.md
stress_zis_photocatalysis_synthetic_010:c2,stress_zis_photocatalysis_synthetic_010,Synthetic claim 49 for stress_zis_photocatalysis_synthetic_010 records user-tracked evidence about charge separation.,review_statement,Section 2 p. 51,51,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_010.md
stress_zis_photocatalysis_synthetic_010:c3,stress_zis_photocatalysis_synthetic_010,Synthetic claim 89 for stress_zis_photocatalysis_synthetic_010 records user-tracked evidence about charge separation.,review_statement,Section 6 p. 91,91,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_010.md
stress_zis_photocatalysis_synthetic_011:c1,stress_zis_photocatalysis_synthetic_011,Synthetic claim 10 for stress_zis_photocatalysis_synthetic_011 records user-tracked evidence about photocorrosion.,background_context,Section 5 p. 12,12,low,photocorrosion; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_011.md
stress_zis_photocatalysis_synthetic_011:c2,stress_zis_photocatalysis_synthetic_011,Synthetic claim 50 for stress_zis_photocatalysis_synthetic_011 records user-tracked evidence about photocorrosion.,theory_or_mechanism,Section 3 p. 52,52,low,photocorrosion; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_011.md
stress_zis_photocatalysis_synthetic_011:c3,stress_zis_photocatalysis_synthetic_011,Synthetic claim 90 for stress_zis_photocatalysis_synthetic_011 records user-tracked evidence about photocorrosion.,experimental_result,,,low,photocorrosion; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_011.md
stress_zis_photocatalysis_synthetic_012:c1,stress_zis_photocatalysis_synthetic_012,Synthetic claim 11 for stress_zis_photocatalysis_synthetic_012 records user-tracked evidence about thin-film fabrication.,opinion_or_interpretation,Section 6 p. 13,13,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_012.md
stress_zis_photocatalysis_synthetic_012:c2,stress_zis_photocatalysis_synthetic_012,Synthetic claim 51 for stress_zis_photocatalysis_synthetic_012 records user-tracked evidence about thin-film fabrication.,limitation,Section 4 p. 53,53,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_012.md
stress_zis_photocatalysis_synthetic_012:c3,stress_zis_photocatalysis_synthetic_012,Synthetic claim 91 for stress_zis_photocatalysis_synthetic_012 records user-tracked evidence about thin-film fabrication.,method_description,Section 2 p. 93,93,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_012.md
stress_zis_photocatalysis_synthetic_013:c1,stress_zis_photocatalysis_synthetic_013,Synthetic claim 12 for stress_zis_photocatalysis_synthetic_013 records user-tracked evidence about catalyst stability.,experimental_result,Section 1 p. 14,14,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_013.md
stress_zis_photocatalysis_synthetic_013:c2,stress_zis_photocatalysis_synthetic_013,Synthetic claim 52 for stress_zis_photocatalysis_synthetic_013 records user-tracked evidence about catalyst stability.,background_context,Section 5 p. 54,54,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_013.md
stress_zis_photocatalysis_synthetic_013:c3,stress_zis_photocatalysis_synthetic_013,Synthetic claim 92 for stress_zis_photocatalysis_synthetic_013 records user-tracked evidence about catalyst stability.,theory_or_mechanism,Section 3 p. 94,94,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_013.md
stress_zis_photocatalysis_synthetic_014:c1,stress_zis_photocatalysis_synthetic_014,Synthetic claim 13 for stress_zis_photocatalysis_synthetic_014 records user-tracked evidence about charge separation.,review_statement,Section 2 p. 15,15,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_014.md
stress_zis_photocatalysis_synthetic_014:c2,stress_zis_photocatalysis_synthetic_014,Synthetic claim 53 for stress_zis_photocatalysis_synthetic_014 records user-tracked evidence about charge separation.,review_statement,Section 6 p. 55,55,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_014.md
stress_zis_photocatalysis_synthetic_014:c3,stress_zis_photocatalysis_synthetic_014,Synthetic claim 93 for stress_zis_photocatalysis_synthetic_014 records user-tracked evidence about charge separation.,review_statement,Section 4 p. 95,95,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_014.md
stress_zis_photocatalysis_synthetic_015:c1,stress_zis_photocatalysis_synthetic_015,Synthetic claim 14 for stress_zis_photocatalysis_synthetic_015 records user-tracked evidence about photocorrosion.,theory_or_mechanism,Section 3 p. 16,16,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_015.md
stress_zis_photocatalysis_synthetic_015:c2,stress_zis_photocatalysis_synthetic_015,Synthetic claim 54 for stress_zis_photocatalysis_synthetic_015 records user-tracked evidence about photocorrosion.,experimental_result,,,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_015.md
stress_zis_photocatalysis_synthetic_015:c3,stress_zis_photocatalysis_synthetic_015,Synthetic claim 94 for stress_zis_photocatalysis_synthetic_015 records user-tracked evidence about photocorrosion.,background_context,Section 5 p. 96,96,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_015.md
stress_zis_photocatalysis_synthetic_017:c1,stress_zis_photocatalysis_synthetic_017,Synthetic claim 15 for stress_zis_photocatalysis_synthetic_017 records user-tracked evidence about thin-film fabrication.,limitation,Section 4 p. 17,17,,thin-film-fabrication; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_017.md
stress_zis_photocatalysis_synthetic_017:c2,stress_zis_photocatalysis_synthetic_017,Synthetic claim 55 for stress_zis_photocatalysis_synthetic_017 records user-tracked evidence about thin-film fabrication.,method_description,Section 2 p. 57,57,,thin-film-fabrication; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_017.md
stress_zis_photocatalysis_synthetic_017:c3,stress_zis_photocatalysis_synthetic_017,Synthetic claim 95 for stress_zis_photocatalysis_synthetic_017 records user-tracked evidence about thin-film fabrication.,opinion_or_interpretation,Section 6 p. 97,97,,thin-film-fabrication; zis-stress; cross-theme,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_017.md
stress_zis_photocatalysis_synthetic_018:c1,stress_zis_photocatalysis_synthetic_018,Synthetic claim 16 for stress_zis_photocatalysis_synthetic_018 records user-tracked evidence about catalyst stability.,background_context,Section 5 p. 18,18,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_018.md
stress_zis_photocatalysis_synthetic_018:c2,stress_zis_photocatalysis_synthetic_018,Synthetic claim 56 for stress_zis_photocatalysis_synthetic_018 records user-tracked evidence about catalyst stability.,theory_or_mechanism,Section 3 p. 58,58,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_018.md
stress_zis_photocatalysis_synthetic_018:c3,stress_zis_photocatalysis_synthetic_018,Synthetic claim 96 for stress_zis_photocatalysis_synthetic_018 records user-tracked evidence about catalyst stability.,experimental_result,Section 1 p. 98,98,high,catalyst-stability; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,catalyst stability,strong,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_018.md
stress_zis_photocatalysis_synthetic_019:c1,stress_zis_photocatalysis_synthetic_019,Synthetic claim 17 for stress_zis_photocatalysis_synthetic_019 records user-tracked evidence about charge separation.,review_statement,Section 6 p. 19,19,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_019.md
stress_zis_photocatalysis_synthetic_019:c2,stress_zis_photocatalysis_synthetic_019,Synthetic claim 57 for stress_zis_photocatalysis_synthetic_019 records user-tracked evidence about charge separation.,review_statement,Section 4 p. 59,59,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_019.md
stress_zis_photocatalysis_synthetic_019:c3,stress_zis_photocatalysis_synthetic_019,Synthetic claim 97 for stress_zis_photocatalysis_synthetic_019 records user-tracked evidence about charge separation.,review_statement,Section 2 p. 99,99,medium,charge-separation; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,charge separation,moderate,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_019.md
stress_zis_photocatalysis_synthetic_020:c1,stress_zis_photocatalysis_synthetic_020,Synthetic claim 18 for stress_zis_photocatalysis_synthetic_020 records user-tracked evidence about photocorrosion.,experimental_result,,,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_020.md
stress_zis_photocatalysis_synthetic_020:c2,stress_zis_photocatalysis_synthetic_020,Synthetic claim 58 for stress_zis_photocatalysis_synthetic_020 records user-tracked evidence about photocorrosion.,background_context,Section 5 p. 60,60,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_020.md
stress_zis_photocatalysis_synthetic_020:c3,stress_zis_photocatalysis_synthetic_020,Synthetic claim 98 for stress_zis_photocatalysis_synthetic_020 records user-tracked evidence about photocorrosion.,theory_or_mechanism,Section 3 p. 100,100,low,photocorrosion; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,photocorrosion,weak,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_020.md
stress_zis_photocatalysis_synthetic_021:c1,stress_zis_photocatalysis_synthetic_021,Synthetic claim 19 for stress_zis_photocatalysis_synthetic_021 records user-tracked evidence about thin-film fabrication.,method_description,Section 2 p. 21,21,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_021.md
stress_zis_photocatalysis_synthetic_021:c2,stress_zis_photocatalysis_synthetic_021,Synthetic claim 59 for stress_zis_photocatalysis_synthetic_021 records user-tracked evidence about thin-film fabrication.,opinion_or_interpretation,Section 6 p. 61,61,,thin-film-fabrication; zis-stress,Synthetic paraphrase only; no real paper quote is represented.,Generated for local stress testing; verify real claims manually.,thin-film fabrication,speculative,/Users/liangze/Desktop/paper-intelligence-workbench/projects/stress_zis_photocatalysis/notes/stress_zis_photocatalysis_synthetic_021.md
